"id"	"cefr"	"topic"	"arabic"	"source_form"	"latin"	"ko"	"en"	"kind"	"marker_type"	"oran_marker"	"evidence"	"status"	"source_id"	"source_locator"	"note"
"OD-0585"	"A2"	"verbs"	"تلقاهم"	"تلقاهم"	"tl9ahm"	"너(남성 단수)는 그들을 찾는다"	"you (m.sg.) find them"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6566; sentence 339"	"미완료형; 형태 태그상 주어=너(남성 단수); 목적어 접사=그들을"
"OD-0586"	"A2"	"verbs"	"نعطيكم"	"نعطيكم"	"n3tykm"	"우리는 너희에게 준다"	"we give you (pl.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 25954; sentence 1174"	"미완료형; 형태 태그상 주어=우리; 목적어 접사=너희를"
"OD-0587"	"A2"	"verbs"	"مبغاوش"	"مبغاوش"	"mbghawch"	"그들은 원하지 않았다"	"they did not want"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 325; sentence 20"	"완료형; 형태 태그상 주어=그들; ma-/m-…-ch 부정 표면형"
"OD-0588"	"A2"	"verbs"	"نديروها"	"نديروها"	"ndyrwha"	"우리는 그것(여성형)을 한다"	"we do it (f.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 8015; sentence 387"	"미완료형; 형태 태그상 주어=우리; 목적어 접사=그녀를/그것(여성)을"
"OD-0589"	"A2"	"verbs"	"يسموه"	"يسموه"	"ysmwh"	"그들은 그를/그것(남성)을 부른다"	"they name him/it (m.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 5272; sentence 273"	"미완료형; 형태 태그상 주어=그들; 목적어 접사=그를/그것(남성)을"
"OD-0590"	"A2"	"verbs"	"منهدروش"	"منهدروش"	"mnhdrwch"	"우리는 말하지 않는다"	"we do not speak"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 5474; sentence 281"	"미완료형; 형태 태그상 주어=우리; ma-/m-…-ch 부정 표면형"
"OD-0591"	"A2"	"verbs"	"نشبهولها"	"نشبهولها"	"nchbhwlha"	"우리는 그것을 그녀에게 비유한다"	"we liken it to her"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 10872; sentence 549"	"미완료형; 형태 태그상 주어=우리; 소유·전치사 결합 접사=3인칭 여성 단수"
"OD-0592"	"A2"	"verbs"	"يعيطولهم"	"يعيطولهم"	"y3ytwlhm"	"그들은 그들에게 전화한다"	"they call them"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 26272; sentence 1186"	"미완료형; 형태 태그상 주어=그들; 소유·전치사 결합 접사=3인칭 남성 복수"
"OD-0593"	"A2"	"verbs"	"نسموه"	"نسموه"	"nsmwh"	"우리는 그를/그것(남성)을 부른다"	"we name him/it (m.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 1205; sentence 61"	"미완료형; 형태 태그상 주어=우리; 목적어 접사=그를/그것(남성)을"
"OD-0594"	"A2"	"verbs"	"نخلوها"	"نخلوها"	"nkhlwha"	"우리는 그녀를/그것을 내버려 둔다"	"we leave her/it alone"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 7753; sentence 376"	"미완료형; 형태 태그상 주어=우리; 목적어 접사=그녀를/그것(여성)을"
"OD-0595"	"A2"	"verbs"	"تبغيها"	"تبغيها"	"tbghyha"	"너(여성 단수)는 그녀를/그것(여성)을 원한다"	"you (f.sg.) want her/it (f.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 7840; sentence 381"	"미완료형; 형태 태그상 주어=너(여성 단수); 목적어 접사=그녀를/그것(여성)을"
"OD-0596"	"A2"	"verbs"	"يقولوله"	"يقولوله"	"y9wlwlh"	"그들은 그에게 말한다"	"they tell him"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 26420; sentence 1192"	"미완료형; 형태 태그상 주어=그들; 소유·전치사 결합 접사=3인칭 남성 단수"
"OD-0597"	"A2"	"verbs"	"يقولهم"	"يقولهم"	"y9wlhm"	"그는 그들에게 말한다"	"he tells them"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 27117; sentence 1213"	"미완료형; 형태 태그상 주어=그; 목적어 접사=그들을"
"OD-0598"	"A2"	"verbs"	"نفهمك"	"نفهمك"	"nfhmk"	"나는 너(남성)를 이해한다"	"I understand you (m.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 11891; sentence 591"	"미완료형; 형태 태그상 주어=나; 목적어 접사=너(남성)를"
"OD-0599"	"A2"	"verbs"	"يقولك"	"يقولك"	"y9wlk"	"그는 너에게 말한다"	"he tells you"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 1107; sentence 57"	"미완료형; 형태 태그상 주어=그; 소유·전치사 결합 접사=2인칭"
"OD-0600"	"A2"	"verbs"	"يسلمك"	"يسلمك"	"yslmk"	"그가 너를 지켜 주기를 바란다"	"may God keep you safe"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 2946; sentence 161"	"미완료형; 형태 태그상 주어=그; 목적어 접사=너(남성)를"
"OD-0601"	"A2"	"verbs"	"قعدوا"	"قعدوا"	"93dwa"	"그들은 계속 머물렀다"	"they stayed / kept on"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 759; sentence 41"	"완료형; 형태 태그상 주어=그들; 목적어 접사 없음"
"OD-0602"	"A2"	"verbs"	"ماكان"	"ماكان"	"makan"	"그는 없었다"	"he was not there / did not exist"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 2699; sentence 147"	"과거 존재 부정 표현; 단순 동사 완료형+ma-/m-…-ch로 분석하면 안 됨"
"OD-0603"	"A2"	"verbs"	"سمحيلي"	"سمحيلي"	"sm7yly"	"실례해 줘; 용서해 줘 (여성 단수에게 하는 명령)"	"excuse me (imperative, f.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 2795; sentence 151"	"명령형; 형태 태그상 주어=너(여성 단수); 소유·전치사 결합 접사=1인칭 단수"
"OD-0604"	"A2"	"verbs"	"نقولها"	"نقولها"	"n9wlha"	"나는 그녀에게 말한다/그것을 말한다"	"I tell her / say it"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 2832; sentence 152"	"미완료형; 형태 태그상 주어=나; 목적어 접사=그녀를/그것(여성)을"
"OD-0605"	"A2"	"verbs"	"نحكيلكم"	"نحكيلكم"	"n7kylkm"	"나는 너희에게 이야기해 준다"	"I tell you (pl.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 3865; sentence 214"	"미완료형; 형태 태그상 주어=나; 소유·전치사 결합 접사=2인칭 복수"
"OD-0606"	"A2"	"verbs"	"يقوله"	"يقوله"	"y9wlh"	"그는 그에게 말한다"	"he tells him"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 4880; sentence 258"	"미완료형; 형태 태그상 주어=그; 목적어 접사=그를/그것(남성)을"
"OD-0607"	"A2"	"verbs"	"متقدش"	"متقدش"	"mt9dch"	"너(남성 단수)는 할 수 없다"	"you (m.sg.) cannot"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 13153; sentence 636"	"미완료형; 형태 태그상 주어=너(남성 단수); ma-/m-…-ch 부정 표면형"
"OD-0608"	"A2"	"verbs"	"تلقاها"	"تلقاها"	"tl9aha"	"너(남성 단수)는 그녀를/그것(여성)을 찾는다"	"you (m.sg.) find her/it (f.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 135; sentence 9"	"미완료형; 형태 태그상 주어=너(남성 단수); 목적어 접사=그녀를/그것(여성)을"
"OD-0609"	"A2"	"verbs"	"تلقاه"	"تلقاه"	"tl9ah"	"너(남성 단수)는 그를/그것(남성)을 찾는다"	"you (m.sg.) find him/it (m.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6518; sentence 337"	"미완료형; 형태 태그상 주어=너(남성 단수); 목적어 접사=그를/그것(남성)을"
"OD-0610"	"A2"	"verbs"	"يحفظك"	"يحفظك"	"y7fdhk"	"그는 너(남성)를 보호한다"	"he protects you (m.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 13453; sentence 646"	"미완료형; 형태 태그상 주어=그; 목적어 접사=너(남성)를"
"OD-0611"	"A2"	"verbs"	"فهمتني"	"فهمتني"	"fhmtny"	"너는 나를 이해했다"	"you understood me"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 14376; sentence 679"	"완료형; 주어=너(단수, 성별 문맥 의존); 목적어 접사=나를"
"OD-0612"	"A2"	"verbs"	"خلينا"	"خلينا"	"khlyna"	"우리가 ~하게 해 줘; 우리를 내버려 둬"	"let us (imperative, m.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 16649; sentence 776"	"명령형; 형태 태그상 주어=너(남성 단수); 목적어 접사=우리를"
"OD-0613"	"A2"	"verbs"	"داروها"	"داروها"	"darwha"	"그들은 그것(여성형)을 했다"	"they did it (f.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 635; sentence 36"	"완료형; 주어=그들; 목적어 접사=그녀를/그것(여성)을"
