"frequency"	"source_form"	"diac"	"msa"	"stem"	"proclitic"	"enclitic"	"num"	"gen"	"en_gloss"	"fr_gloss"	"token_id"	"sentence_id"
"119"	"أنا"	"أنا"	"أَنَا"	"أنا/PRON_1S"	""	""	"s"	"m"	""	"I"	"139"	"10"
"68"	"اه"	"اه"	"يَا"	"اه/VOC_PART"	""	""	"na"	"na"	"oh"	"Ah"	"452"	"28"
"68"	"فيها"	"فيها"	"فِي"	"في/PREP"	""	"ها/PRON_3FS"	"na"	"na"	"in"	"dans"	"410"	"25"
"59"	"ايا"	"ايا"	"ثُمَّ"	"ايا/CONJ"	""	""	"na"	"na"	""	"then,afterwards,next,moreover"	"54"	"4"
"41"	"هدا"	"هدا"	"هَذا"	"هدا/DEM_PRON"	""	""	"s"	"m"	"this"	"ce"	"763"	"42"
"39"	"قاله"	"قاله"	"قالَ"	"قال/PV"	""	"(null)/PVSUFF_SUBJ:3MS+ه/PVSUFF_DO:3MS"	"na"	"na"	"said"	"dis"	"74"	"6"
"38"	"حاجا"	"حاجة"	"شَيّء"	"حاج/NOUN_ABSTRACT"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"thing"	"chose"	"2860"	"154"
"36"	"الي"	"الي"	"الَذي"	"الي/REL_PRON"	""	""	"na"	"na"	"which,_who,_whom"	"qui"	"2426"	"117"
"34"	"روحي"	"روحي"	"رُوح"	"روح/NOUN_ABSTRACT"	""	"ي/POSS_PRON"	"na"	"na"	"spirit,_soul"	"esprit"	"1907"	"90"
"33"	"وحد"	"وحد"	"واحِد"	"وحد/NOUN"	""	""	"s"	"m"	"about"	"environ"	"5318"	"274"
"33"	"روحك"	"روحك"	"رُوح"	"روح/NOUN_ABSTRACT"	""	"ك/POSS_PRON"	"s"	"m"	"spirit,soul"	"esprit"	"1913"	"90"
"31"	"الا"	"الا"	"إِذا"	"الا/CONDITION_PART"	""	""	"na"	"na"	"if"	"si"	"393"	"24"
