"id"	"cefr"	"topic"	"arabic"	"source_form"	"latin"	"ko"	"en"	"kind"	"marker_type"	"oran_marker"	"evidence"	"status"	"source_id"	"source_locator"	"note"
"OD-0732"	"A2"	"verbs"	"نلبس"	"نلبس"	"nlbs"	"나는 입는다"	"I wear"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 11430; sentence 574"	"미완료형; 형태 태그상 주어=나"
"OD-0733"	"A2"	"verbs"	"ولاو"	"ولاو"	"wlaw"	"그들은 ~이 되었다"	"they became"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 25706; sentence 1167"	"완료형; 형태 태그상 주어=그들"
"OD-0734"	"A2"	"verbs"	"نعاود"	"نعاود"	"n3awd"	"나는 반복한다"	"I repeat"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 2478; sentence 122"	"미완료형; 형태 태그상 주어=나"
"OD-0735"	"A2"	"general"	"كيراكي"	"كيراكي"	"kyraky"	"너(여성 단수)는 어떻게 지내?"	"how are you doing? (f.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 2496; sentence 123"	"kira-ki에서 -ki=2인칭 여성 단수"
"OD-0736"	"A2"	"verbs"	"تحوس"	"تحوس"	"t7ws"	"그녀는 찾는다"	"she looks for"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 3928; sentence 217"	"미완료형; 형태 태그상 주어=그녀"
"OD-0737"	"A2"	"general"	"ماغديش"	"ماغديش"	"maghdych"	"~하지 않을 것이다"	"will not"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 4258; sentence 231"	"ma-/m-…-ch 부정 표면형"
"OD-0738"	"A2"	"verbs"	"قارعي"	"قارعي"	"9ar3y"	"기다리다 (명령)"	"wait (imperative, f.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 4340; sentence 236"	"명령형; 형태 태그상 주어=너(여성 단수)"
"OD-0739"	"A2"	"verbs"	"تقد"	"تقد"	"t9d"	"너(남성 단수)는 할 수 있다"	"you (m.sg.) can"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 5574; sentence 284"	"미완료형; 형태 태그상 주어=너(남성 단수)"
"OD-0740"	"A2"	"verbs"	"اسكتي"	"اسكتي"	"askty"	"조용히 하다 (명령)"	"shut up (imperative, f.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6299; sentence 329"	"명령형; 형태 태그상 주어=너(여성 단수)"
"OD-0741"	"A2"	"abstract"	"عمره"	"عمره"	"3mrh"	"그의 삶; 평생"	"his life; lifetime"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 12785; sentence 625"	"소유·전치사 결합 접사=3인칭 남성 단수"
"OD-0742"	"A2"	"verbs"	"نوضي"	"نوضي"	"nwdy"	"일어나 (여성 단수에게)"	"get up (imperative, f.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 15020; sentence 701"	"명령형; 형태 태그상 주어=너(여성 단수)"
"OD-0743"	"A2"	"verbs"	"تقبل"	"تقبل"	"t9bl"	"그녀는 받아들인다"	"she accepts"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 392; sentence 24"	"미완료형; 형태 태그상 주어=그녀"
"OD-0744"	"A2"	"verbs"	"يخرج"	"يخرج"	"ykhrj"	"그는 나간다/떠난다"	"he goes out / leaves"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 1016; sentence 52"	"미완료형; 형태 태그상 주어=그"
"OD-0745"	"A2"	"general"	"معنتها"	"معنتها"	"m3ntha"	"그 뜻은; 즉"	"it means; that is"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 1169; sentence 59"	"소유·전치사 결합 접사=3인칭 여성 단수"
"OD-0746"	"A2"	"people"	"صاحبه"	"صاحبه"	"sa7bh"	"그의 친구"	"his friend"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 1232; sentence 62"	"소유·전치사 결합 접사=3인칭 남성 단수"
"OD-0747"	"A2"	"adjectives"	"باغيني"	"باغيني"	"baghyny"	"나를 원하는"	"wanting me"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 1923; sentence 90"	"소유·전치사 결합 접사=1인칭 단수"
"OD-0748"	"A2"	"people"	"مرتك"	"مرتك"	"mrtk"	"네 아내"	"your wife"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 2021; sentence 95"	"소유·전치사 결합 접사=2인칭"
"OD-0749"	"A2"	"adjectives"	"وحدي"	"وحدي"	"w7dy"	"나 혼자"	"alone / by myself"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 3096; sentence 177"	"소유·전치사 결합 접사=1인칭 단수"
"OD-0750"	"A2"	"general"	"روحها"	"روحها"	"rw7ha"	"그녀 자신"	"herself"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 4294; sentence 233"	"소유·전치사 결합 접사=3인칭 여성 단수"
"OD-0751"	"A2"	"verbs"	"يهدر"	"يهدر"	"yhdr"	"그는 말한다"	"he speaks / talks"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 5893; sentence 311"	"미완료형; 형태 태그상 주어=그"
"OD-0752"	"A2"	"verbs"	"نجيب"	"نجيب"	"njyb"	"나는 가져온다/데려온다"	"I bring / get"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6086; sentence 320"	"미완료형; 형태 태그상 주어=나"
"OD-0753"	"A2"	"general"	"فالدار"	"فالدار"	"faldar"	"집에서; 집 안에"	"at home / in the house"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6443; sentence 334"	"MADOran 표면형; 문맥에 따라 품사·의미 범위가 달라질 수 있음"
"OD-0754"	"A2"	"verbs"	"كنتي"	"كنتي"	"knty"	"너(여성 단수)는 ~였다/있었다"	"you (f.sg.) were"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 9519; sentence 436"	"완료형; 형태 태그상 주어=너(여성 단수)"
"OD-0755"	"A2"	"verbs"	"يبارك"	"يبارك"	"ybark"	"그는 축복한다/축하한다"	"he blesses / congratulates"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 13228; sentence 640"	"미완료형; 형태 태그상 주어=그"
"OD-0756"	"A2"	"verbs"	"يكري"	"يكري"	"ykry"	"그는 임대한다"	"he rents out"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 13528; sentence 649"	"미완료형; 형태 태그상 주어=그"
"OD-0757"	"A2"	"verbs"	"نحكي"	"نحكي"	"n7ky"	"나는 이야기한다"	"I tell /  talk"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 16762; sentence 779"	"미완료형; 형태 태그상 주어=나"
"OD-0758"	"A2"	"adjectives"	"خاطرك"	"خاطرك"	"khatrk"	"네 마음; 네 기분"	"your mind / feelings"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 19140; sentence 881"	"소유·전치사 결합 접사=2인칭"
"OD-0759"	"A2"	"verbs"	"نطلع"	"نطلع"	"ntl3"	"나는 올라간다"	"I go up"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 19443; sentence 892"	"미완료형; 형태 태그상 주어=나"
"OD-0760"	"A2"	"verbs"	"يحفظ"	"يحفظ"	"y7fdh"	"그는 보호한다"	"he protects"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 29176; sentence 1289"	"미완료형; 형태 태그상 주어=그"
"OD-0761"	"A2"	"verbs"	"نخمم"	"نخمم"	"nkhmm"	"나는 생각한다"	"I think"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 237; sentence 15"	"미완료형; 형태 태그상 주어=나"
"OD-0762"	"A2"	"general"	"كيراكم"	"كيراكم"	"kyrakm"	"how are you?"	"how are you?"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 818; sentence 44"	"소유·전치사 결합 접사=2인칭 복수"
"OD-0763"	"A2"	"verbs"	"بغاو"	"بغاو"	"bghaw"	"그들은 원했다"	"they wanted"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 1289; sentence 64"	"완료형; 형태 태그상 주어=그들"
"OD-0764"	"A2"	"verbs"	"بداو"	"بداو"	"bdaw"	"그들은 시작했다"	"they started"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 1320; sentence 66"	"완료형; 형태 태그상 주어=그들"
