Sentno	Sentence	WordCount
1	كي شربت كوكا باردة هي لي دارتلي هاك . شفت ياك ضارتك . واه ضرتني .	16
2	أيا حكيلي حكاية هداك سيد نهار بغي تبيع لوطو .	10
3	غادي دروك نحكيلك بغيت نبيع بولو قلت لنسيبي تروح معيا لسوق قالي واه نروح معاك لسوق .	17
4	صباح بكرنا روحنا انا و ياه في الطريق قولنا نتقهوا ايا قالي نتقهوا .	14
5	تقهوينا و ضربنا ميل فاي قهوة حليب و قضبنا الطريق .	11
6	كي وصلنا لسوق خلصنا ترونتميل قاله بنعمي ترونتميل بزاف .	10
7	واه ايا ترونتميل خلصنا , دخلنا لسوق و قعدنا نقارعوا كان حال مازال مبانش .	15
8	كي بان الحال جاو غاشي يساومو فلوطو شعال عطاوك ? شعال عطاوك ? مازال عطاوني 45 عطاوني 48 تلاقيت مع واحد قعدنا نحكوا هو ثاني قعد يبيع لوطو .	29
9	قعدنا نحكوا انا و ياه ناس ملاح مسكين قالي شوف ديرها زينة تلقاها زينة .	15
10	قالي أنا و الله خطرة تلاقيت بمرا مسكينة شبانية في طريق شفتني حبست رفدتها	14
11	قالها وين تسكني قاتله ديني لدار و نقولك وين نسكن .	11
12	داها قالي ديتها داها داها كي وصل وحد فيلاج قالوله متسكنش هنا هاذي ليق تزيد بصح متتمشاش بلوطو	18
13	يا مسكينة تروح أبيي على كرعيك أيا قالي هودت بلوطو رفدتها قالي دخلتني في وحد شجر هاكا فلخلا قالي عندها دار فلخلا . مسكينة دخل جبرها وحدها مسكينة عايشة وحدها تسكن وحدها	32
14	أيا قالي قلتلها شاندير لك قالي قاتلي بارك الله فيك و قعدت تديعلي في دعوة خير	16
15	وليت قالي كي وليت مشيت لدار دخلت قعدت نخمم قعدت نخمم نخمم	12
16	قلت أنا مسكينة هادي مرا وحدها و كل شي علاه من غدوة نروح نجيبها	14
17	و شفاته شفتني قالي شفتني قلت أنا ندي دعوة خير منها وكلش	12
18	قالي غدوة روحت قضبت لوطو روحت عندها قلتلها ياضرا شا قلتي كون تجي عندي	14
19	قاتله كيما تبغي قالها معندك حتى ماليك قاتله ما عندي حتى ماليا لا فاميليا لا والو قالي رفدتها وديتها لدار عند ما وبويا	23
20	قالي كي ديتها عند ما وبويا . قالوله وهاد شبانيا قالهم هاذي مسكينة شيبانيا عايشة وحدها باغي نجيبها هنايا تعيش معانا مبغاوش .	23
21	مبغاوش ناضولي يزعفوا بويا قالي غي هادي لي مديرهاش قاله غي هادي	12
22	قتله مسكينة كي دير وعايشة وحدها خليها أنا نتحمل مسؤولية قاله لا كون تخليها غدوة لابوليس يقولوا لك بلي خطفتها و لا حاجة لازم تعلم تحصل لازم ديكلاري	28
23	قالي رحت عند جدارميا و قلتلهم بلي هاد مخلوقة باغي نديها و معندها حتى حد مسكينة	16
24	قالوله شوف قالوله ليق حتى نديرولك وحد ورقة باش تقبل الا قبلوا الدولة و الحكومة قبلت عاد نخلوك تخليها تعيش عندك	21
25	قالوله بصح بشرط الا تقبل تهالى فيها و توكلها قالي قتلهم أني قابل .	14
26	داروله قالي دارولي ديك ورقة و جبتها جبتها لدار قالي قعدت تاكل و تشرب و تدعيلي دعوة خير قالي حمد الله .	22
27	غي هو وياها ?	4
28	واه . هو مع بوه و ماه . اه صحا .	11
29	قالوله الا تجيب ورقة خليها . بوه قاله الا تجيب ورقة صحا الا ما تجيبش ورقة ما تخليهاش .	19
30	قالي جبت ورقة قالي بويا كي جبت ورقة قبل . قالي فرحت قالي مسكينة هادي كل يوم ولات ما تديها لحمام و تلبسها و تهلا فيها و كل شي فرحت بزاف ولات تدعي غير دعوة خير .	37
31	قالي قلت أنا راهي هنايا و كل شي علاه منديرش دوسيي تع سكنة بلاك يعطوها سكنة و نعيش معها وأنا تاني نروح نتزوج و كلش	25
32	. دار ضوسيي تاع سكنة قالهم أنا أني مع شبانية و عندي بويا و ما و راني لا سكنة لا والو و هاد شبانية مخلوقة مسكينة معندهاش تا حد عطوها سكنة .	32
33	داروا لونكات جاب ربي بقدرة الله و دعوة خير عطاوها سكنة سبحان الله .	14
34	كي عطاوها سكنة جيت فرحان قلتلها شوفي يا شبانية راهم عطاوك سكنة .	13
35	قتله شوف يا وليدي قاتله سكنة كون ديرها على اسمي غدوا كاش حاجة ينوضوا واحد ينوض من فاميلتي و يدوهالك السكنة ديرها على اسمك مديرهاش على اسمي و رانا فيرحبا	30
36	قالي روحت عند هادك شاف تاعهم جريت شوي جريت شوي داروها على اسمي أيوا و عطاوها سكنة و روحنا سكنا و قعدنا أنا وياها .	25
37	دور ما دور ليام . عندها زوج خوتاتها قاع معلبالهومش بها نهار لي سمعوا بها قاع ما بنوش نهار لي سمعوا بلي دات سكنة و يجو . جاو يجروا كي جاو يجروا .	33
38	جاو يطبطبوا سكسوا يطبطبوا قالوله هنايا فلانة قالولها هنا فلانة .	11
39	هو كي شافهم قالهم شكون ? حنا خواتتها قال أنا شاندير خواتتها مابغيتش نقعد كاين كلام بينتهم شادرت درت تليفون بوات فوكال و حطيته و خرجت يسجل الهدرة وهوما معلبالهومش .	31
40	اه خواتتها حسبوا بلي ما كان تا واحد صايي كي خرج صايي .	13
41	كاين غي هوما و هي . أيا قالولها شوفي قالولها سكنة حرزي يديهالك سكنة رديها على اسمنا . . شوطنوها واه قعدوا يقولولها . .	25
42	هدا دار بيك و جابك بلعاني غير باش يديلك سكنة جابك و عطاوك سكنة و دروك يحوس يديلك سكنة .	20
43	قالولها أنا نقولك رودي سكنة على اسمنا و خطاك شي و حنا نتهلو فيك و حنا مكان حتى مشكل .	20
44	أيا قالي دربت و حد ساعة و لا ساعتين و جيت كي جيت دخلت يادرا كيراكم غايا لاباس ?	19
45	لاباس حمد الله قلي روحت لتليفون و ضربتلهم بوات فوكال و قلتلهم باغي نسمع هدرة شا هدرتو دار هاكا أيا هدرة قاع شا هدروا سجلها أيا نوضوا خرجوا و مليوم متجوش هاد دار .	34
46	عطاوها قعدت أنا و شبانية قاتله ها وليدي قاتله شوف ماكنش راجل كيفك فدنيا هادي نتا عليك دعوة خير و ولد فاميليا و أنيا غادي مام كي نموت ندعيلك غي دعوة خير راك دايها	34
47	و سكنة مزية درتها على اسمك خاطش كون درتها على اسمي كانو هادو يديروا شالا بال و يدوهالك . يا سبحان الله .	23
48	واه أيا قالي فرحت و عليها روحت تلاقيت بنت فاميليا و تزوجت و راه عندي مرا و عندي بنت و حمد لله	22
49	و هي مازال راها عايشة معاه ? و هي مازال عايشة معايا و راني متهلي فيها و مخصها والو .	20
50	يا سبحان الله القدرة كي دايرا جيت أنا قتله و الله شوف ديرها زينة تلقاها زينة و هادا ربي راه اللي راه يسير فيها .	25
51	أيا عليها أنا بعت لوطو و قتله أيا تبقى على خير قالي مسكين بون قالي مين بعتها ارجى ارجى باش تخرج ارجى دوك نحلك طريق .	26
52	قال لوحدين حمبوك وخروا وخروا هادا راه باع لوطو باغي يخرج .	12
53	خاطش كانت عاد 11 خاطش حتى 12 يكمونصوا يخرجوا .	10
54	مسكين الله يكثر خيره وخلي زوج لواطا دالي طريق	9
55	قظبت طريق 11.30 جيت خارج من سوق تلاقيت بهادوك لي يبيعوا دلاع و بتيخ شريت حبة دلاع و جيت لحقت على 12.30 و لا صليت جمعة و رقدت غاية .	30
56	بصح سيحان الله ايستواغ كي دايرة .	7
57	كي كنا صغار كنا نشوفو سندريلا تخرج نص الليل كابتن ماجد يزرطي من لقراية باه يلعب ماتش و روبن هود خاين نتفرجوه طارزن ديما عريان و الأميرة نايمة خاصها سلمة باش تنوض و يقولك كبرنا مسوفجين ه	37
58	واحد خطرة كوبل كان فلبحر أيا قال لخطيبته قالها تعرفي قمر شعال بعيد قالتله واه قالها ريحة كرعيك راها واصلة لتم	21
59	قالك واحد نهارة واحد حطيست لبس كوستيمة فور و خرج برا يتمشى دار فيها قارو نسيم فاتت عليه واحدة شابة بزاف درق قارو فجيب و هو شاعل المهم شعلت فيه نار جات عنده قالتله خويا راك تشعل معنتها راها شاعلة فيك نار .	43
60	قالها خوك دايمن يشعل حسب قالتله راك تشعل بزين	9
61	زوج تزوجوا و ابري 20 عام زواج مرا حملت رفدت بكرش ما تفاهموش هو يقولها نسميه خير الدين و هي تقوله نسموه خير الله المهم كي ولدت بيبي خرج صغير سماوه خير من والوه .	35
