"id"	"cefr"	"topic"	"arabic"	"source_form"	"latin"	"ko"	"en"	"kind"	"marker_type"	"oran_marker"	"evidence"	"status"	"source_id"	"source_locator"	"note"
"OD-0001"	"A1"	"greeting"	"السلام عليكم"	"السلام عليكم"	"s-slam 3likum"	"안녕하세요"	"peace be upon you"	"phrase"	"none"	"common"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (4)"	"인사"
"OD-0002"	"A1"	"greeting"	"وعليكم السلام"	"وعليكم السلام"	"w 3likum s-slam"	"안녕하세요(응답)"	"and upon you peace"	"phrase"	"none"	"common"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (4-5)"	"인사 응답"
"OD-0003"	"A1"	"greeting"	"صحة"	""	"sa77a"	"건강; 건배; 잘 먹어"	"health; cheers; bon appétit"	"phrase"	"lexicon"	"sa77a"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: sa77a = ok/all right"	"상황에 따라 건배·식사·격려 표현; 의미는 문맥 의존"
"OD-0004"	"A1"	"greeting"	"صحيت"	""	"sa77it"	"고마워"	"thank you"	"phrase"	"lexicon"	"sa77it"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: sa77it = thanks"	"Oran 기술 어휘"
"OD-0005"	"A1"	"greeting"	"بلا جميل"	""	"bla jmil"	"천만에"	"you are welcome"	"phrase"	"lexicon"	"bla jmil"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: bla jmil = you are welcome"	"Morocco와 공유하는 서부형"
"OD-0006"	"A1"	"greeting"	"واه"	"واه"	"wah"	"응; 네"	"yes"	"phrase"	"lexicon"	"wah"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (12)"	"녹음 전사 wāh"
"OD-0007"	"A1"	"greeting"	"لا"	""	"la"	"아니"	"no"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	"범알제리 공통"
"OD-0008"	"A1"	"greeting"	"آيا"	"āyya"	"ayya"	"자; 가자"	"come on; let's go"	"phrase"	"lexicon"	"ayya"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: ayya = lets go"	"담화 표지"
"OD-0009"	"A1"	"greeting"	"الله يرحم بوك"	"الله يرحم بوك"	"allah yer7em buk"	"부탁이야; 네 아버지께 자비를"	"please; may God have mercy on your father"	"phrase"	"none"	"common"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (18)"	"친근한 부탁 표현; 직역 주의"
"OD-0010"	"A1"	"greeting"	"سمحلي"	""	"sma7li"	"미안해; 실례해"	"excuse me; sorry"	"phrase"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	"범알제리형"
