"id"	"cefr"	"topic"	"arabic"	"source_form"	"latin"	"ko"	"en"	"kind"	"marker_type"	"oran_marker"	"evidence"	"status"	"source_id"	"source_locator"	"note"
"OD-0001"	"A1"	"greeting"	"السلام عليكم"	"السلام عليكم"	"s-slam 3likum"	"안녕하세요"	"peace be upon you"	"phrase"	"none"	"common"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (4)"	"인사"
"OD-0003"	"A1"	"greeting"	"صحة"	""	"sa77a"	"괜찮아; 좋아"	"okay; all right"	"phrase"	"lexicon"	"sa77a"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: sa77a = ok/all right"	"연결된 Oran 연구의 직접 gloss로 제한"
"OD-0004"	"A1"	"greeting"	"صحيت"	""	"sa77it"	"고마워"	"thank you"	"phrase"	"lexicon"	"sa77it"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: sa77it = thanks"	"Oran 기술 어휘"
"OD-0005"	"A1"	"greeting"	"بلا جميل"	""	"bla jmil"	"천만에"	"you are welcome"	"phrase"	"lexicon"	"bla jmil"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: bla jmil = you are welcome"	"Morocco와 공유하는 서부형"
"OD-0006"	"A1"	"greeting"	"واه"	"واه"	"wah"	"응; 네"	"yes"	"phrase"	"lexicon"	"wah"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (12)"	"녹음 전사 wāh"
"OD-0008"	"A1"	"greeting"	"آيا"	"āyya"	"ayya"	"자; 가자"	"come on; let's go"	"phrase"	"lexicon"	"ayya"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: ayya = lets go"	"담화 표지"
"OD-0009"	"A1"	"greeting"	"الله يرحم بوك"	"الله يرحم بوك"	"allah yer7em buk"	"부탁이야; 네 아버지께 자비를"	"please; may God have mercy on your father"	"phrase"	"none"	"common"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (18)"	"친근한 부탁 표현; 직역 주의"
"OD-0022"	"A1"	"people"	"سيد"	"سيد"	"siyyed"	"남자; 신사; 사람"	"man; gentleman; person"	"word"	"none"	"lemma_from_attested"	"CORVAM_LEMMA_FROM_ATTESTED"	"lemma_from_attested"	"S1"	"S1 Audio 1, transcript (16-18)"	""
"OD-0023"	"A1"	"questions"	"شا؟"	"شا؟"	"cha?"	"뭐?"	"what?"	"word"	"lexicon"	"cha"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (7)"	"전사 ša"
"OD-0029"	"A1"	"questions"	"مالك؟"	""	"malek?"	"무슨 일이야?"	"what is wrong?"	"phrase"	"lexicon"	"malek"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: ma lek? = whats the matter?"	"서부 공유형"
"OD-0030"	"A1"	"questions"	"كاين؟"	"كاين؟"	"kayen?"	"있어?"	"is there?"	"pattern"	"none"	"common"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (8-9)"	""
"OD-0031"	"A1"	"questions"	"ما كاش"	"ما كاش"	"makash"	"없어"	"there is not"	"phrase"	"none"	"common"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (9)"	"ma...ch 부정"
"OD-0035"	"A1"	"verbs"	"بغى"	""	"bgha"	"원하다"	"to want"	"word"	"lexicon"	"bgha"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: 7ebb ~ bgha = to want"	"Oran에서 흔한 ‘원하다’"
"OD-0036"	"A1"	"verbs"	"حب"	""	"7ebb"	"원하다"	"to want"	"word"	"lexicon"	"7ebb"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: 7ebb ~ bgha = to want"	"연결된 Oran 연구의 직접 gloss로 제한"
"OD-0037"	"A1"	"verbs"	"هدر"	"هدر"	"hder"	"말하다"	"to speak"	"word"	"none"	"lemma_from_attested"	"CORVAM_LEMMA_FROM_ATTESTED"	"lemma_from_attested"	"S1"	"S1 Audio 1, transcript (1-2)"	""
"OD-0038"	"A1"	"verbs"	"سقسى"	""	"sqsa"	"묻다"	"to ask"	"word"	"lexicon"	"sqsa"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: sqsa = to ask"	""
"OD-0039"	"A1"	"verbs"	"حوس على"	"حوس على"	"7awwes 3la"	"찾다"	"to look for"	"phrase"	"lexicon"	"7awwes 3la"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (3)"	""
"OD-0041"	"A1"	"verbs"	"ستنى"	""	"stenna"	"기다리다"	"to wait"	"word"	"none"	"common"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: stenna ~ qare3 = to wait"	"qare3와 병용"
"OD-0044"	"A1"	"verbs"	"راح"	"راح"	"ra7"	"갔다"	"he went"	"word"	"none"	"common"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (12,16)"	""
"OD-0045"	"A1"	"verbs"	"جا"	"جا"	"ja"	"왔다"	"he came"	"word"	"none"	"common"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (16)"	""
"OD-0048"	"A1"	"verbs"	"خدم"	"خدم"	"khdem"	"일하다"	"to work"	"word"	"none"	"lemma_from_attested"	"CORVAM_LEMMA_FROM_ATTESTED"	"lemma_from_attested"	"S1"	"S1 Audio 1, transcript (7-9)"	""
"OD-0049"	"A1"	"verbs"	"قرا"	"قرا"	"qra"	"읽다; 공부하다"	"to read; study"	"word"	"uncertain"	"lemma_from_attested"	"CORVAM_LEMMA_FROM_ATTESTED"	"lemma_from_attested"	"S1"	"S1 Audio 1, transcript (19)"	"직접 전사는 qra; g형은 별도 근거 없이는 확정하지 않음"
"OD-0051"	"A1"	"verbs"	"باع"	"باع"	"ba3"	"팔았다"	"he sold"	"word"	"none"	"lemma_from_attested"	"CORVAM_LEMMA_FROM_ATTESTED"	"lemma_from_attested"	"S1"	"S1 Audio 1, transcript (12-17)"	""
"OD-0052"	"A1"	"verbs"	"عطى"	"عطى"	"3ta"	"주었다"	"he gave"	"word"	"none"	"lemma_from_attested"	"CORVAM_LEMMA_FROM_ATTESTED"	"lemma_from_attested"	"S1"	"S1 Audio 1, transcript (11)"	""
"OD-0056"	"A1"	"places"	"حانوت"	"حانوت"	"7anut"	"가게"	"shop"	"word"	"none"	"common"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (4)"	""
"OD-0057"	"A1"	"places"	"حوانيت"	""	"7wanit"	"가게들"	"shops"	"word"	"none"	"common"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Noun Morphology: 7wanit plural"	"문헌에 Oran의 Hilali형 복수로 기술되나 고유성은 주장하지 않음"
"OD-0059"	"A1"	"places"	"خدمة"	"خدمة"	"khedma"	"일; 직업"	"work; job"	"word"	"none"	"common"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (3,5,8-9)"	""
"OD-0060"	"A1"	"places"	"قريب"	"قريب"	"qrib"	"가까운"	"near"	"word"	"uncertain"	"q/g varies"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (6) + Phonology §"	"S1은 grib~qrib 교대를 기술; 해당 인용은 qrib로 보수 표기"
