id	field	corrected_value	reason
OD-0591	ko	우리는 그것을 그녀에게 비유한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0591	en	we liken it to her	영어 문법·시제·인칭 및 의미 교정
OD-0592	ko	그들은 그들에게 전화한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0592	en	they call them	영어 문법·시제·인칭 및 의미 교정
OD-0594	ko	우리는 그녀를/그것을 내버려 둔다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0594	en	we leave her/it alone	영어 문법·시제·인칭 및 의미 교정
OD-0596	ko	그들은 그에게 말한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0596	en	they tell him	영어 문법·시제·인칭 및 의미 교정
OD-0597	ko	그는 그들에게 말한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0597	en	he tells them	영어 문법·시제·인칭 및 의미 교정
OD-0599	ko	그는 너에게 말한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0599	en	he tells you	영어 문법·시제·인칭 및 의미 교정
OD-0600	ko	그가 너를 지켜 주기를 바란다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0600	en	may God keep you safe	영어 문법·시제·인칭 및 의미 교정
OD-0601	ko	그들은 계속 머물렀다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0601	en	they stayed / kept on	영어 문법·시제·인칭 및 의미 교정
OD-0602	ko	그는 없었다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0602	en	he was not there / did not exist	영어 문법·시제·인칭 및 의미 교정
OD-0604	ko	나는 그녀에게/그것에 대해 말한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0604	en	I tell her / say it	영어 문법·시제·인칭 및 의미 교정
OD-0605	ko	나는 너희에게 이야기해 준다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0605	en	I tell you (pl.)	영어 문법·시제·인칭 및 의미 교정
OD-0606	ko	그는 그에게 말한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0606	en	he tells him	영어 문법·시제·인칭 및 의미 교정
OD-0607	ko	너(남성 단수)는 할 수 없다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0607	en	you (m.sg.) cannot	영어 문법·시제·인칭 및 의미 교정
OD-0611	ko	너는 나를 이해했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0611	en	you understood me	영어 문법·시제·인칭 및 의미 교정
OD-0613	ko	그들은 그것(여성형)을 했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0613	en	they did it (f.)	영어 문법·시제·인칭 및 의미 교정
OD-0614	ko	나는 몰랐다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0614	en	I did not know	영어 문법·시제·인칭 및 의미 교정
OD-0615	ko	그는 할 수 없다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0615	en	he cannot	영어 문법·시제·인칭 및 의미 교정
OD-0616	ko	그는 그에게 자비를 베푼다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0616	en	he has mercy on him	영어 문법·시제·인칭 및 의미 교정
OD-0617	ko	너(남성 단수)는 그에게 묻는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0617	en	you (m.sg.) ask him	영어 문법·시제·인칭 및 의미 교정
OD-0618	ko	그것이 네 마음에 든다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0618	en	you like it	영어 문법·시제·인칭 및 의미 교정
OD-0619	ko	그는 너를 내버려 둔다/하게 둔다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0619	en	he leaves you / lets you	영어 문법·시제·인칭 및 의미 교정
OD-0620	ko	나는 늦지 않는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0620	en	I am not late	영어 문법·시제·인칭 및 의미 교정
OD-0621	ko	나는 그녀를/그것을 가져온다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0621	en	I bring her/it	영어 문법·시제·인칭 및 의미 교정
OD-0622	ko	너(남성 단수)는 그녀를/그것을 내버려 둔다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0622	en	you (m.sg.) leave her/it alone	영어 문법·시제·인칭 및 의미 교정
OD-0623	ko	그들은 나에게 해 주었다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0623	en	they did it for me	영어 문법·시제·인칭 및 의미 교정
OD-0624	ko	그들은 나에게 주었다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0624	en	they gave me	영어 문법·시제·인칭 및 의미 교정
OD-0628	ko	나는 너를 데려다준다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0628	en	I take you / get you there	영어 문법·시제·인칭 및 의미 교정
OD-0629	ko	나는 원하지 않는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0629	en	I do not want	영어 문법·시제·인칭 및 의미 교정
OD-0630	ko	나는 모른다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0630	en	I do not know	영어 문법·시제·인칭 및 의미 교정
OD-0631	ko	나는 너를 사랑한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0631	en	I love you (m.sg.)	영어 문법·시제·인칭 및 의미 교정
