"id"	"cefr"	"topic"	"arabic"	"source_form"	"latin"	"ko"	"en"	"kind"	"marker_type"	"oran_marker"	"evidence"	"status"	"source_id"	"source_locator"	"note"
"OD-0007"	"A1"	"greeting"	"لا"	""	"la"	"아니"	"no"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	"범알제리 공통"
"OD-0010"	"A1"	"greeting"	"سمحلي"	""	"sma7li"	"미안해; 실례해"	"excuse me; sorry"	"phrase"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	"범알제리형"
"OD-0011"	"A1"	"greeting"	"صباح الخير"	""	"sba7 lkhir"	"좋은 아침"	"good morning"	"phrase"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	"범알제리형"
"OD-0012"	"A1"	"greeting"	"مساء الخير"	""	"msa lkhir"	"좋은 저녁"	"good evening"	"phrase"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	"범알제리형"
"OD-0013"	"A1"	"people"	"أنا"	""	"ana"	"나"	"I"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0014"	"A1"	"people"	"نتا"	""	"nta"	"너(남)"	"you masculine"	"word"	"none"	"common"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Linguistic features § / S2 pp.219-233"	"2인칭 단수 남성형; Oran 고유 표지는 아님"
"OD-0015"	"A1"	"people"	"نتي"	""	"nti"	"너(여)"	"you feminine"	"word"	"none"	"common"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Linguistic features § / S2 pp.219-233"	"2인칭 단수 여성형; Oran 고유 표지는 아님"
"OD-0016"	"A1"	"people"	"هو"	""	"huwwa"	"그"	"he"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0017"	"A1"	"people"	"هي"	""	"hiya"	"그녀"	"she"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0018"	"A1"	"people"	"حنا"	""	"7na"	"우리"	"we"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0019"	"A1"	"people"	"نتوما"	""	"ntuma"	"너희"	"you plural"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0020"	"A1"	"people"	"خويا"	""	"khuya"	"내 형제; 친구"	"my brother; mate"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	"친근한 호칭"
"OD-0021"	"A1"	"people"	"صاحبي"	""	"sa7bi"	"내 친구"	"my friend"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0024"	"A1"	"questions"	"شكون؟"	""	"chkun?"	"누구?"	"who?"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0025"	"A1"	"questions"	"وين؟"	""	"win?"	"어디?"	"where?"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0026"	"A1"	"questions"	"كيفاش؟"	""	"kifach?"	"어떻게?"	"how?"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0028"	"A1"	"questions"	"علاش؟"	""	"3lach?"	"왜?"	"why?"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0032"	"A1"	"questions"	"وش هذا؟"	""	"wech hada?"	"이게 뭐야?"	"what is this?"	"phrase"	"none"	"common"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0033"	"A1"	"questions"	"شحال؟"	""	"ch7al?"	"몇; 얼마?"	"how many; how much?"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0034"	"A1"	"questions"	"بصح؟"	""	"bessa7?"	"정말?"	"really?"	"phrase"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0042"	"A1"	"verbs"	"قدر"	""	"qder"	"할 수 있다"	"can; be able"	"word"	"none"	"common"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Lexicon: nejjem ~ qedd = to be able"	"범알제리 가능 표현; Oran 고유 표지 아님"
"OD-0046"	"A1"	"verbs"	"دخل"	"دخل"	"dkhel"	"들어갔다"	"he entered"	"word"	"none"	"common"	"CORVAM_DIRECT"	"attested"	"S1"	"S1 Audio 1, transcript (4)"	"S1 Audio 1 transcript (4)에서 txel로 전사된 개별 발화"
"OD-0047"	"A1"	"verbs"	"خرج"	""	"khrej"	"나갔다"	"he went out"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0054"	"A2"	"verbs"	"عقل على"	""	"3qel 3la"	"기억하다"	"to remember"	"phrase"	"lexicon"	"3qel 3la"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Linguistic features § / S2 pp.219-233"	"서부 공유형"
"OD-0055"	"A1"	"places"	"وهران"	""	"Wahran"	"오랑"	"Oran"	"word"	"none"	"common"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 locality heading and history"	"현지명"
"OD-0058"	"A1"	"places"	"دار"	""	"dar"	"집"	"house"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0061"	"A1"	"places"	"نيشان"	""	"nichan"	"곧장"	"straight"	"word"	"lexicon"	"nichan"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Linguistic features § / S2 pp.219-233"	"서부 공유형"
"OD-0062"	"A1"	"places"	"خاوي"	""	"khawi"	"빈"	"empty"	"word"	"lexicon"	"khawi"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Linguistic features § / S2 pp.219-233"	"서부 공유형"
"OD-0064"	"A1"	"places"	"أرواح"	""	"arwa7"	"와!"	"come!"	"phrase"	"lexicon"	"arwa7"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Linguistic features § / S2 pp.219-233"	""
"OD-0065"	"A1"	"food_shop"	"دراهم"	""	"drahem"	"돈"	"money"	"word"	"none"	"common"	"ORAN_STUDY"	"study_backed"	"S1"	"S1 Linguistic features § / S2 pp.219-233"	""
"OD-0066"	"A1"	"food_shop"	"خبز"	""	"khobz"	"빵"	"bread"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	""
"OD-0067"	"A1"	"food_shop"	"الما"	""	"lma"	"물"	"water"	"word"	"none"	"common"	"ALGERIAN_COMMON"	"native_review_required"	"S4"	"S4 country-level comparison only"	"학습용 현지 표기; 표준 아랍어 ماء와 구별"
"OD-0071"	"A1"	"food_shop"	"نحب هذا"	""	"n7ebb hada"	"이걸 원해"	"I want this"	"phrase"	"none"	"common"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S1"	"constructed from cited forms"	"검증 어휘의 교육용 조합"
"OD-0073"	"A1"	"food_shop"	"عطيني هذا"	""	"3tini hada"	"이거 줘; 이거 주세요"	"give me this"	"phrase"	"none"	"common"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S1"	"constructed from cited forms"	"문법적으로 높임이 고정되지 않으며 공손성은 상황·억양 의존"
