source_id	source_locator	source_form	word_count	license_id	selection_status	candidate_level	candidate_domain	note
S6	MADOran_Sentences.tsv:Sentno=9	قعدنا نحكوا انا و ياه ناس ملاح مسكين قالي شوف ديرها زينة تلقاها زينة .	15	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=14	أيا قالي قلتلها شاندير لك قالي قاتلي بارك الله فيك و قعدت تديعلي في دعوة خير	16	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=15	وليت قالي كي وليت مشيت لدار دخلت قعدت نخمم قعدت نخمم نخمم	12	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=16	قلت أنا مسكينة هادي مرا وحدها و كل شي علاه من غدوة نروح نجيبها	14	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=17	و شفاته شفتني قالي شفتني قلت أنا ندي دعوة خير منها وكلش	12	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=19	قاتله كيما تبغي قالها معندك حتى ماليك قاتله ما عندي حتى ماليا لا فاميليا لا والو قالي رفدتها وديتها لدار عند ما وبويا	23	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=20	قالي كي ديتها عند ما وبويا . قالوله وهاد شبانيا قالهم هاذي مسكينة شيبانيا عايشة وحدها باغي نجيبها هنايا تعيش معانا مبغاوش .	23	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=21	مبغاوش ناضولي يزعفوا بويا قالي غي هادي لي مديرهاش قاله غي هادي	12	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=22	قتله مسكينة كي دير وعايشة وحدها خليها أنا نتحمل مسؤولية قاله لا كون تخليها غدوة لابوليس يقولوا لك بلي خطفتها و لا حاجة لازم تعلم تحصل لازم ديكلاري	28	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=23	قالي رحت عند جدارميا و قلتلهم بلي هاد مخلوقة باغي نديها و معندها حتى حد مسكينة	16	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=24	قالوله شوف قالوله ليق حتى نديرولك وحد ورقة باش تقبل الا قبلوا الدولة و الحكومة قبلت عاد نخلوك تخليها تعيش عندك	21	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=25	قالوله بصح بشرط الا تقبل تهالى فيها و توكلها قالي قتلهم أني قابل .	14	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=26	داروله قالي دارولي ديك ورقة و جبتها جبتها لدار قالي قعدت تاكل و تشرب و تدعيلي دعوة خير قالي حمد الله .	22	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=27	غي هو وياها ?	4	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=28	واه . هو مع بوه و ماه . اه صحا .	11	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=29	قالوله الا تجيب ورقة خليها . بوه قاله الا تجيب ورقة صحا الا ما تجيبش ورقة ما تخليهاش .	19	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
S6	MADOran_Sentences.tsv:Sentno=30	قالي جبت ورقة قالي بويا كي جبت ورقة قبل . قالي فرحت قالي مسكينة هادي كل يوم ولات ما تديها لحمام و تلبسها و تهلا فيها و كل شي فرحت بزاف ولات تدعي غير دعوة خير .	37	CC-BY-NC-3.0-MADORAN	available			Exact source inventory only; semantic, translation, GPT, and native review pending.
