id	cefr	topic	arabic	source_form	latin	ko	en	kind	marker_type	oran_marker	evidence	status	source_id	source_locator	note
OD-0097	A1	family	بابا		baba	아빠; 아버지	father; dad	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 확인 필요
OD-0098	A1	family	يمّا		yemma	엄마	mother; mom	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 확인 필요
OD-0099	A1	family	خو		khu	형제	brother	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	소유형 خويا와 구별
OD-0100	A1	family	خت		kht	자매	sister	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 확인 필요
OD-0101	A1	family	ولد		weld	아들; 소년	son; boy	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	모음은 화자별 변이
OD-0102	A1	family	بنت		bent	딸; 소녀	daughter; girl	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	모음은 화자별 변이
OD-0103	A1	body	راس		ras	머리	head	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 확인 필요
OD-0104	A1	body	يد		yed	손	hand	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 확인 필요
OD-0105	A1	body	عين		3in	눈	eye	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 확인 필요
OD-0106	A1	body	فم		femm	입	mouth	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	fom도 들릴 수 있음; Oran 원어민 검토 필요
OD-0107	A1	food_shop	حليب		7lib	우유	milk	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 확인 필요
OD-0108	A1	food_shop	أتاي		atay	차	tea	word	lexicon	western candidate	ALGERIAN_COMMON	native_review_required	S4	Western/Algerian candidate	서부권 형태 여부 확인 필요
OD-0109	A1	food_shop	سكر		sokkar	설탕	sugar	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	모음은 화자별 변이
OD-0110	A1	food_shop	لحم		l7em	고기	meat	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 확인 필요
OD-0111	A1	food_shop	ملح		mel7	소금	salt	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 직접 전사의 정확한 위치가 확인되지 않아 원어민 검토 필요
OD-0112	A1	food_shop	خروف		khruf	양; 양고기	sheep; mutton	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 직접 전사의 정확한 위치가 확인되지 않아 원어민 검토 필요
OD-0113	A1	color	كحل		k7el	검은	black	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	성·수 변화는 별도 학습
OD-0114	A1	color	بيض		byed	흰	white	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	성·수 변화는 별도 학습
OD-0115	A1	color	حمر		7mer	붉은	red	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	성·수 변화는 별도 학습
OD-0116	A1	color	خضر		khder	초록의	green	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	성·수 변화는 별도 학습
OD-0117	A1	position	فوق		fuq	위에	above; on	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 검토 필요
OD-0118	A1	position	تحت		te7t	아래에	below; under	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 확인 필요
OD-0119	A1	position	قدّام		qoddam	앞에	in front	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	q/g 표기 정책 확인 필요
OD-0120	A1	position	مورا		mora	뒤에	behind	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 확인 필요
OD-0121	A1	transport	طونوبيل		tonobil	자동차	car	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common French loan	철자 변이 확인 필요
OD-0122	A1	transport	طوبيس		tobis	버스	bus	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 형태 확인 필요
OD-0123	A1	home	باب		bab	문	door	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 확인 필요
OD-0124	A1	home	بيت		bit	방; 거처	room; dwelling	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	집의 기본 표현은 دار가 더 안전함; Oran 원어민 검토 필요
OD-0125	A1	home	طابلة		tabla	탁자	table	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common French loan	Oran 원어민 확인 필요
OD-0126	A1	home	كرسي		korsi	의자	chair	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	Oran 원어민 확인 필요
OD-0127	A1	daily	صغير		sghir	작은; 어린	small; young	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	성·수 변화는 별도 학습
OD-0128	A1	daily	كبير		kbir	큰; 나이 든	big; old	word	none	common	ALGERIAN_COMMON	native_review_required	S4	Algerian-common candidate	성·수 변화는 별도 학습
