source_word	latin	ko	en	cefr	topic	note
لا	la	아니; ~않다	no; not	A1	function	부정 표지
تع	ta3	~의	of	A1	function	소유·관계 전치사
لي	lli	~하는 사람; ~인 것	the one who; that	A2	function	관계대명사
يا	ya	야; 이봐	oh; hey	A1	function	호격 표지
شا	cha	뭐	what	A1	questions	의문사
راني	rani	나는 ~이다	I am	A1	state	1인칭 단수 현재 제시형
باغي	baghi	원하는(남성); 나는 원한다	wanting (masculine); I want	A1	state	남성 단수 능동분사
راه	rah	그는 ~이다	he is	A1	state	3인칭 남성 현재 제시형
هنا	hna	여기	here	A1	position	장소 부사
أيا	aya	그러면; 자	then; so	A1	function	담화 연결어
راك	rak	너는 ~이다(남성)	you are (masculine)	A1	state	2인칭 남성 현재 제시형
كيما	kima	~처럼; ~같이	like; as	A1	function	비교 표현
علاه	3lah	왜	why	A1	questions	이유 의문사
كاين	kayn	있다; 존재한다	there is; exists	A1	state	존재 표현
راكي	raki	너는 ~이다(여성)	you are (feminine)	A1	state	2인칭 여성 현재 제시형
خير	khir	더 좋은; 가장 좋은	better; best	A1	adjectives	비교급
صحا	sa7a	좋아; 알겠어	okay; all right	A1	greeting	응답 표현
عليا	3liya	나에게; 내 위에	on me; to me	A1	function	전치사+1인칭 접미사
ها	ha	자; 어서	come on; here	A1	function	주의·권유 표지
ربي	rabbi	나의 주님; 하느님	my Lord; God	A2	daily	1인칭 소유형
كنت	kont	나는 ~였다	I was	A1	verbs	완료형 1인칭 단수
هادا	hada	이것	this	A1	demonstrative	남성 단수 지시사
مشي	machi	~이 아니다	not; is not	A1	function	명사·형용사 부정
عندك	3andek	너에게 있다; 네가 가지고 있다	you have	A1	state	2인칭 남성 소유
نقولك	nqulek	내가 네게 말한다	I tell you	A1	verbs	1인칭 주어+2인칭 목적어
عندي	3andi	나에게 있다; 내가 가지고 있다	I have	A1	state	1인칭 소유
سي	si	선생님; 씨	sir; Mr.	A1	people	존칭
باسكو	pasku	왜냐하면	because	A1	function	프랑스어계 접속사
كون	kun	만약	if	A2	function	조건 접속사
ادا	ida	만약; ~인지	if; whether	A2	function	조건 표지
قالي	qali	그가 내게 말했다	he told me	A1	verbs	3인칭 남성+1인칭 간접목적
مين	min	~할 때	when	A1	time	시간 접속사
عليها	3liha	그녀에게; 그것 위에	on her; on it	A1	function	전치사+3인칭 여성 접미사
فيه	fih	그 안에; 그것에	in it; in him	A1	function	전치사+3인칭 남성 접미사
شوية	chwiya	조금	a little; some	A1	quantity	소량 표현
صايي	sayi	됐어; 충분해	that is enough; done	A1	daily	프랑스어계 담화 표현
بويا	buya	내 아버지	my father	A1	family	1인칭 소유형
مكانش	makanch	없다	there is not	A1	state	부정 존재 표현
عليك	3lik	너에게; 네 위에	on you; to you	A1	function	전치사+2인칭 남성 접미사
راهي	rahi	그녀는 ~이다	she is	A1	state	3인칭 여성 현재 제시형
عليه	3lih	그에게; 그것 위에	on him; on it	A1	function	전치사+3인칭 남성 접미사
اني	ani	나는 ~이다	I am	A1	state	1인칭 현재 제시형
كانوا	kanu	그들은 ~였다	they were	A1	verbs	완료형 3인칭 복수
معاه	m3ah	그와 함께	with him	A1	function	전치사+3인칭 남성 접미사
ندير	ndir	나는 한다	I do	A1	verbs	미완료 1인칭 단수
راهم	rahom	그들은 ~이다	they are	A1	state	3인칭 복수 현재 제시형
معاك	m3ak	너와 함께	with you	A1	function	전치사+2인칭 접미사
تاعي	ta3i	내 것	mine; my	A1	function	1인칭 소유 표현
فيك	fik	네 안에; 너에게서	in you	A1	function	전치사+2인칭 남성 접미사
تاعك	ta3ek	네 것	yours; your	A1	function	2인칭 소유 표현
كبيرة	kbira	큰(여성형)	big (feminine)	A1	adjectives	여성 단수형
راها	raha	그녀는 ~이다	she is	A1	state	3인칭 여성 현재 제시형
