"source_uid"	"source_id"	"source_locator"	"sentno"	"arabic_original"	"word_count"	"source_file"	"license_id"	"source_status"	"darija_provenance"	"enrichment_state"
"madoran-s6-sentno-0001"	"S6"	"MADOran_Sentences.tsv#Sentno=1"	"1"	"كي شربت كوكا باردة هي لي دارتلي هاك . شفت ياك ضارتك . واه ضرتني ."	"16"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0002"	"S6"	"MADOran_Sentences.tsv#Sentno=2"	"2"	"أيا حكيلي حكاية هداك سيد نهار بغي تبيع لوطو ."	"10"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0003"	"S6"	"MADOran_Sentences.tsv#Sentno=3"	"3"	"غادي دروك نحكيلك بغيت نبيع بولو قلت لنسيبي تروح معيا لسوق قالي واه نروح معاك لسوق ."	"17"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0004"	"S6"	"MADOran_Sentences.tsv#Sentno=4"	"4"	"صباح بكرنا روحنا انا و ياه في الطريق قولنا نتقهوا ايا قالي نتقهوا ."	"14"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0005"	"S6"	"MADOran_Sentences.tsv#Sentno=5"	"5"	"تقهوينا و ضربنا ميل فاي قهوة حليب و قضبنا الطريق ."	"11"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0006"	"S6"	"MADOran_Sentences.tsv#Sentno=6"	"6"	"كي وصلنا لسوق خلصنا ترونتميل قاله بنعمي ترونتميل بزاف ."	"10"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0007"	"S6"	"MADOran_Sentences.tsv#Sentno=7"	"7"	"واه ايا ترونتميل خلصنا , دخلنا لسوق و قعدنا نقارعوا كان حال مازال مبانش ."	"15"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0008"	"S6"	"MADOran_Sentences.tsv#Sentno=8"	"8"	"كي بان الحال جاو غاشي يساومو فلوطو شعال عطاوك ? شعال عطاوك ? مازال عطاوني 45 عطاوني 48 تلاقيت مع واحد قعدنا نحكوا هو ثاني قعد يبيع لوطو ."	"29"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0009"	"S6"	"MADOran_Sentences.tsv#Sentno=9"	"9"	"قعدنا نحكوا انا و ياه ناس ملاح مسكين قالي شوف ديرها زينة تلقاها زينة ."	"15"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0010"	"S6"	"MADOran_Sentences.tsv#Sentno=10"	"10"	"قالي أنا و الله خطرة تلاقيت بمرا مسكينة شبانية في طريق شفتني حبست رفدتها"	"14"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0011"	"S6"	"MADOran_Sentences.tsv#Sentno=11"	"11"	"قالها وين تسكني قاتله ديني لدار و نقولك وين نسكن ."	"11"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0012"	"S6"	"MADOran_Sentences.tsv#Sentno=12"	"12"	"داها قالي ديتها داها داها كي وصل وحد فيلاج قالوله متسكنش هنا هاذي ليق تزيد بصح متتمشاش بلوطو"	"18"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
