sample_id	cefr	domain	topic	arabic	latin	ko	en	source_locator	reviewer_id	oran_native_confirmed	rating	suggested_arabic	comment	reviewed_at
ODC-000001	A1	school_work	school and work	سمحيلي ختي باغي نسقسيك هدي هي جامعة تع علوم و تكنولوجيا ايسطو واه هدي هي جامعة حاجة .	sm7yly khty baghy ns9syk hdy hy jam3a t3 3lwm w tknwlwjya aystw wah hdy hy jam3a 7aja .	미안해, 언니. 여기가 USTO 과학기술대학교인지 물어보고 싶어.	Sorry, sister, I want to ask you: is this the University of Science and Technology in USTO?	MADOran_Sentences.tsv:Sentno=151	ORAN_R2					
ODC-000002	A1	school_work	school and work	لا مفيها والو مكانش مشكل سقسيت جامعة هايلا جامعة	la mfyha walw mkanch mchkl s9syt jam3a hayla jam3a	아니, 괜찮아. 문제없어. 대학교에 대해 물어본 거야. 좋은 대학교야.	No, it is fine; there is no problem. I asked about the university; it is a good university.	MADOran_Sentences.tsv:Sentno=153	ORAN_R2					
ODC-000003	A1	school_work	school and work	علابلك من وين راني جاي .	3lablk mn wyn rany jay .	내가 어디에서 오는지 알아?	Do you know where I am coming from?	MADOran_Sentences.tsv:Sentno=157	ORAN_R2					
ODC-000004	A1	school_work	school and work	قيساش تخرجي هاد وقت اه	9ysach tkhrjy had w9t ah	언제 떠나?	When are you leaving?	MADOran_Sentences.tsv:Sentno=162	ORAN_R2					
ODC-000005	A1	school_work	school and work	خويا معندك ما تخدم أنا كنت نقرا و دروك راني رايحة لدار .	khwya m3ndk ma tkhdm ana knt n9ra w drwk rany ray7a ldar .	형, 일 없어? 나는 공부하고 있었고 이제 집에 가.	Brother, you do not have work? I was studying, and now I am going home.	MADOran_Sentences.tsv:Sentno=167	ORAN_R2					
ODC-000006	A1	school_work	school and work	انا تاني كنت نخدم و راني جاي عندك هنايا . علبالك باي اني قريب واحد شهر راني نجي هنا .	ana tany knt nkhdm w rany jay 3ndk hnaya . 3lbalk bay any 9ryb wa7d chhr rany njy hna .	나도 일하고 있었고 너에게 여기로 오고 있어. 거의 한 달째 여기 오고 있어.	I was working too, and I am coming here to you. I have been coming here for almost a month.	MADOran_Sentences.tsv:Sentno=168	ORAN_R2					
ODC-000007	A1	school_work	school and work	انا و الله لكنت متمني نقرى هنا . كون قريت هنا شا كنت تقارع .	ana w allh lknt mtmny n9ra hna . kwn 9ryt hna cha knt t9ar3 .	나는 정말 여기서 공부하고 싶었어. 네가 여기서 공부했다면 무엇을 골랐을까?	I really wished I had studied here. If you had studied here, what would you have chosen?	MADOran_Sentences.tsv:Sentno=172	ORAN_R2					
ODC-000008	A1	school_work	school and work	ها قراية قراية قراية نقابلو رزق و لا قراية . تقارعي ترولي ?	ha 9raya 9raya 9raya n9ablw rz9 w la 9raya . t9ar3y trwly ?	트롤리를 기다리고 있어?	Are you waiting for the trolley?	MADOran_Sentences.tsv:Sentno=173	ORAN_R2					
ODC-000009	A1	school_work	school and work	راني نقارع ترونسبور تع جامعة .	rany n9ar3 trwnsbwr t3 jam3a .	나는 대학 통학버스를 기다리고 있어.	I am waiting for the university transport.	MADOran_Sentences.tsv:Sentno=174	ORAN_R2					
ODC-000010	A1	school_work	school and work	لا معليش . وين تسكني ? تسكني هنا فوهران . راكي مهودة للافيل ? معندكش حبة علك ?	la m3lych . wyn tskny ? tskny hna fwhran . raky mhwda llafyl ? m3ndkch 7ba 3lk ?	괜찮아. 어디 살아? 여기 오랑에 살아? 시내로 내려가는 중이야? 껌 하나 있어?	No problem. Where do you live? Do you live here in Oran? Are you heading down to town? Do you have a piece of gum?	MADOran_Sentences.tsv:Sentno=180	ORAN_R2					
