"id"	"cefr"	"topic"	"arabic"	"source_form"	"latin"	"ko"	"en"	"kind"	"marker_type"	"oran_marker"	"evidence"	"status"	"source_id"	"source_locator"	"note"
"OD-0027"	"A1"	"questions"	"قداش؟"	""	"qeddach?"	"얼마?"	"how much?"	"word"	"uncertain"	"q/g varies"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S1"	"constructed from cited forms"	"/q/~/g/는 화자·어휘에 따라 교대; 보수적으로 q 표기"
"OD-0050"	"A1"	"verbs"	"شرا"	""	"chra"	"샀다"	"he bought"	"word"	"none"	"common"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S1"	"Derived from S1 Audio 1 transcript (19): imperative plural chru"	"과거 3인칭형은 원전의 명령 복수형에서 유도; 원어민 확인 필요"
"OD-0053"	"A1"	"verbs"	"دى"	""	"dda"	"가져갔다"	"he took"	"word"	"none"	"common"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S1"	"Derived from S1 Audio 1 transcript (11,17): imperative ddi"	"과거형은 원전의 명령형에서 유도; 원어민 확인 필요"
"OD-0068"	"A1"	"food_shop"	"قهوة"	""	"qahwa"	"커피"	"coffee"	"word"	"uncertain"	"q/g varies"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S1"	"constructed from cited forms"	"q/g 변이를 확정하지 않고 보수적으로 q 전사"
"OD-0072"	"A1"	"food_shop"	"قداش هذا؟"	""	"qeddach hada?"	"이거 얼마예요?"	"how much is this?"	"phrase"	"uncertain"	"q/g varies"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S1"	"constructed from cited forms"	"교육용 조합; q/g 변이와 자연성 원어민 확인 필요"
"OD-0074"	"A1"	"food_shop"	"ما عنديش دراهم"	""	"ma 3andich drahem"	"돈이 없어"	"I do not have money"	"phrase"	"grammar"	"ma...ch"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S1"	"constructed from cited forms"	"알제리식 부정 조합"
"OD-0091"	"A1"	"state"	"راني هنا"	""	"rani hna"	"나 여기 있어"	"I am here"	"phrase"	"lexicon"	"ra-"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S3"	"S3 thesis: negation and ra-"	"Oran ra- 연구; 문장 원어민 확인 필요"
"OD-0092"	"A1"	"state"	"راهو قريب"	""	"rahu qrib"	"그는 가까이 있어"	"he is nearby"	"phrase"	"uncertain"	"q/g varies"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S1"	"constructed from cited forms"	"교육용 조합; 보수적으로 q 전사"
"OD-0093"	"A1"	"state"	"ما نفهمش"	""	"ma nefhemch"	"이해 못 해"	"I do not understand"	"phrase"	"grammar"	"ma...ch"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S3"	"S3 thesis: negation and ra-"	"Oran 부정 패턴"
"OD-0095"	"A2"	"state"	"غادي نخدم"	""	"ghadi nekhdem"	"나는 일할 거야"	"I will work"	"phrase"	"grammar"	"ghadi"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S1"	"constructed from cited forms"	"Oran 미래 표지 조합"
"OD-0096"	"A2"	"state"	"ما لقيتش خدمة"	""	"ma lqitch khedma"	"일자리를 못 찾았어"	"I did not find a job"	"phrase"	"grammar"	"ma...ch"	"PEDAGOGICAL_COMPOSED"	"native_review_required"	"S1"	"constructed from cited forms"	"CORVAM 전사 ma lqa-ch를 1인칭 교육형으로 변환"
