id	cefr	topic	arabic	source_form	latin	ko	en	kind	marker_type	oran_marker	evidence	status	source_id	source_locator	note
OD-0129	A1	people	انا	انا	ana	나	I	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 10924; sentence 551	독립 주격 1인칭 단수
OD-0130	A1	people	نتا	نتا	nta	너(남성)	you (masculine singular)	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 10629; sentence 538	2인칭 남성 단수
OD-0131	A1	people	نتي	نتي	nti	너(여성)	you (feminine singular)	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 10773; sentence 545	2인칭 여성 단수
OD-0132	A1	people	هو	هو	hwa	그	he	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 10758; sentence 544	huwa 변이 가능
OD-0133	A1	people	هي	هي	hiya	그녀	she	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 11086; sentence 557	
OD-0134	A1	people	حنا	حنا	7na	우리	we; us	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 10695; sentence 542	
OD-0135	A1	people	نتوما	نتوما	ntuma	너희	you (plural)	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 11104; sentence 558	
OD-0136	A1	people	هوما	هوما	huma	그들	they	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 17914; sentence 827	
OD-0137	A1	demonstrative	هاد	هاد	had	이; 이~	this; this ~	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 11082; sentence 557	주로 명사 앞 근칭 한정형
OD-0138	A1	demonstrative	هادي	هادي	hadi	이것(여성형)	this (feminine)	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 10309; sentence 524	
OD-0139	A1	demonstrative	هادو	هادو	hadu	이것들	these	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 13908; sentence 663	
OD-0140	A1	demonstrative	هداك	هداك	hdak	저것(남성형)	that (masculine)	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 10583; sentence 536	
OD-0141	A1	questions	شكون؟	شكون	chkun?	누구?	who?	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 12989; sentence 632	문장부호는 교육용 추가
OD-0142	A1	questions	وين؟	وين	win?	어디?	where?	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 12116; sentence 600	문장부호는 교육용 추가
OD-0143	A1	questions	علاه؟	عله	3lah?	왜?	why?	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 10812; sentence 547	source_form عله를 표제 철자 علاه로 정규화
OD-0144	A1	questions	شعال؟	شعال	ch3al?	얼마나; 몇?	how much; how many?	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 101; sentence 8	문장부호는 교육용 추가
OD-0145	A1	family	ولد	ولد	weld	아이; 아들	child; son	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 10009; sentence 498	
OD-0146	A1	family	بنت	بنت	bent	딸; 여자아이	daughter; girl	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 14152; sentence 671	
OD-0147	A1	family	ماما	ماما	mama	엄마	mother; mom	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 16182; sentence 756	
OD-0148	A1	people	راجل	راجل	rajel	남자	man	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 14829; sentence 694	남편 의미는 문맥 의존
OD-0149	A1	body	يد	يد	yed	손	hand	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 10179; sentence 516	
OD-0150	A1	body	عين	عين	3in	눈	eye	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 10001; sentence 496	
OD-0151	A1	body	فم	فم	femm	입	mouth	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 29603; sentence 1309	Latin은 학습용 정규화; 정확한 모음값은 음성 검수 대상
OD-0152	A1	body	وجه	وجه	wejh	얼굴	face	word	none	direct corpus	MADORAN_DIRECT	attested	S6	MADOran token 11964; sentence 594	앞면 의미는 문맥 의존
