"ID"	"Sentno"	"Wordno"	"Word"	"diac"	"msa"	"Proclitic"	"Stem"	"Enclitic"	"Root"	"Pattern"	"num"	"gen"	"Sentiment"	"en_gloss"	"fr_gloss"
"1"	"1"	"1"	"كي"	"كي"	"لَمّا"	""	"كي/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	"when"	"quand"
"2"	"1"	"2"	"شربت"	"شربت"	"شَرِبَ"	""	"شرب/PV"	"ت/PVSUFF_SUBJ:1S"	"شرب"	"فعَل-يُفْعُل"	"na"	"na"	"neutral"	""	"drink;_boire"
"3"	"1"	"3"	"كوكا"	"كوكا"	"كُوكا"	""	"كوكا/NOUN_PROP"	""	"none"	"none"	"s"	"m"	"neutral"	""	"Coca,_fizzy_drink;_Coca"
"4"	"1"	"4"	"باردة"	"باردة"	"بارِد"	""	"بارد/ADJ"	"ة/NSUFF_FEM_SG"	"برد"	"فَاعِلَة"	"s"	"f"	"neutral"	"cold"	"frais"
"5"	"1"	"5"	"هي"	"هي"	"هِيَ"	""	"هي/PRON_3FS"	""	"none"	"none"	"s"	"f"	"neutral"	"it,she"	"elle"
"6"	"1"	"6"	"لي"	"لي"	"الّذيالتِّي"	""	"لي/REL_PRON"	""	"none"	"none"	"na"	"na"	"neutral"	"the_one,that"	"celui,_ce"
"7"	"1"	"7"	"دارتلي"	"دارتلي"	"دارَ"	""	"دار/PV"	"ت/PVSUFF_SUBJ:3FS+ل/PREP+ي/POSS_PRON_1S"	"دير"	"فعَل - يفعِل"	"na"	"na"	"neutral"	"do"	"faire"
"8"	"1"	"8"	"هاك"	"هاك"	"ه`كَذا"	""	"هاك/ADV"	""	"none"	"none"	"na"	"na"	"neutral"	"this_way,ike_this"	"comme_sa"
"9"	"1"	"9"	"."	"."	"."	""	"./PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"."
"10"	"1"	"10"	"شفت"	"شفت"	"شَافَ"	""	"شف/PV"	"ت/PVSUFF_SUBJ:2MS"	"شوف"	"فعَل - يفعُل"	"na"	"na"	"neutral"	"look,see"	"voir"
"11"	"1"	"11"	"ياك"	"ياك"	"حَقَّا"	""	"ياك/YES_NO_RESP_PART"	""	"none"	"none"	"s"	"m"	"neutral"	""	"right_?"
"12"	"1"	"12"	"ضارتك"	"ضارتك"	"ضَرَّ"	""	"ضار/PV"	"ت/PVSUFF_SUBJ:3FS+ك/PVSUFF_DO:2MS"	"ضرر"	"فعَل - يفعُل"	"na"	"na"	"negative"	""	"harm,injure;"
"13"	"1"	"13"	"."	"."	"."	""	"./PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"."
"14"	"1"	"14"	"واه"	"واه"	"نعم"	""	"واه/YES_NO_RESP_PART"	""	"none"	"none"	"na"	"na"	"neutral"	"yes"	"oui"
"15"	"1"	"15"	"ضرتني"	"ضرتني"	"ضَرَّ"	""	"ضر/PV"	"ت/PVSUFF_SUBJ:3FS+ني/PVSUFF_DO:1S"	"ضرر"	"فعَل - يفعُل"	"na"	"na"	"negative"	""	"harm;injure;_mal"
"16"	"1"	"16"	"."	"."	"."	""	"./PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"."
"17"	"2"	"1"	"أيا"	"أيا"	"ثُمَّ"	""	"أيا/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	""	"then,so"
"18"	"2"	"2"	"حكيلي"	"حكيلي"	"حَكَى"	""	"حك/CV"	"ي/CVSUFF_SUBJ:2MS+ل/PREP+ي/POSS_PRON_1S"	"حكي"	"فعَل - يفعِل"	"na"	"na"	"neutral"	"tell,_raconte"	"raconter,_dire"
"19"	"2"	"3"	"حكاية"	"حكاية"	"حِكايَة"	""	"حكاي/NOUN"	"ة/NSUFF_FEM_SG"	"حكي"	"فْعالَة"	"s"	"f"	"neutral"	"story,account"	"histoire"
"20"	"2"	"4"	"هداك"	"هداك"	"ذَلِك"	""	"هداك/DEM_PRON_MS"	""	"none"	"none"	"s"	"m"	"neutral"	"that_[masc.sg.]"	"ce"
"21"	"2"	"5"	"سيد"	"سيد"	"سَيِّد"	""	"سيد/NOUN"	"(null)/CASE_INDEF_(ACC_GEN)"	"سود"	"فَيْعِل"	"s"	"m"	"neutral"	""	"Sir,Mr.,mister"
"22"	"2"	"6"	"نهار"	"نهار"	"نَهار"	""	"نهار/NOUN"	"(null)/CASE_INDEF_(ACC_GEN)"	"نهر"	"فعَال"	"s"	"m"	"neutral"	"day"	"jour"
"23"	"2"	"7"	"بغي"	"أبغي"	"بَغى"	""	"بغي/IV"	"(null)/IVSUFF_SUBJ:3MS"	"بغي"	"فعَل - يفعِل"	"na"	"na"	"neutral"	""	"want,desire;_vouloir"
"24"	"2"	"8"	"تبيع"	"تبيع"	"باعَ"	"t/IV2MS"	"بيع/IV"	"(null)/IVSUFF_SUBJ : 2MS"	"بيع"	"فعَل - يفعِل"	"na"	"na"	"neutral"	""	"sell;_vendre"
"25"	"2"	"9"	"لوطو"	"لوطو"	"سَيّارَة"	""	"لوطو/NON_ARABIC"	""	"none"	"none"	"s"	"m"	"neutral"	"car;automobile"	"voiture;_automobile"
"26"	"2"	"10"	"."	"."	"."	""	"./PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"."
"27"	"3"	"1"	"غادي"	"غادي"	"سَوفَ"	""	"غادي/FUT_PART"	""	"none"	"none"	"na"	"na"	"neutral"	""	"will"
"28"	"3"	"2"	"دروك"	"دروك"	"الآن"	""	"دروك/NOUN_TIME_PLACE"	""	"none"	"none"	"na"	"na"	"neutral"	"now,at_this_moment"	"maintenant,_en_ce_moment"
"29"	"3"	"3"	"نحكيلك"	"نحكي_لك"	"حَكَى"	"n/IV1S"	"حكي/IV"	"ي/IVSUFF_SUBJ:1S+ل/PREP+ك/POSS_PRON_2MS"	"حكي"	"فعَل - يفعِل"	"na"	"na"	"neutral"	""	"report,tell;_raconte"
"30"	"3"	"4"	"بغيت"	"بغيت"	"بَغَىِ"	""	"بغي/PV"	"ت/PVSUFF_SUBJ:1S"	"بغي"	"فعَل - يفعِل"	"na"	"na"	"neutral"	"want,desire"	"vouloir"
"31"	"3"	"5"	"نبيع"	"نبيع"	"باعَ"	"n/IV1S"	"بيع/IV"	"(null)/IVSUFF_MOOD:S"	"بيع"	"فعَل - يفعِل"	"na"	"na"	"neutral"	""	"sell;_vendre"
"32"	"3"	"6"	"بولو"	"بولو"	"بُولُو"	""	"بولو/NOUN"	""	"none"	"none"	"na"	"na"	"neutral"	""	"polo;_polo"
"33"	"3"	"7"	"قلت"	"قلت"	"قالَ"	""	"قل/PV"	"ت/PVSUFF_SUBJ:1S"	"قول"	"فعَل - يفعُل"	"na"	"na"	"neutral"	"said"	"dis"
"34"	"3"	"8"	"لنسيبي"	"لنسيبي"	"نَسِيب"	"l/PREP"	"نسيب/NOUN"	"ي/POSS_PRON_1S"	"نسب"	"فعِيل"	"s"	"m"	"neutral"	""	"relative,kinsman;_frére_de_mon_epous"
