"source_uid"	"sentno"	"latin"	"english"	"korean"	"cefr_level"	"difficulty_score"	"domain"	"topic"	"genre"	"speech_act"	"register"	"context_dependency"
"madoran-s6-sentno-0001"	"1"	"ki chrabt coca barida hiya li dartli hak. cheft yak dartak. wah dartni."	"When I drank a cold Coke, it was the one that did that to me. You saw how it hurt you. Yes, it hurt me."	"차가운 콜라를 마셨더니 그게 나한테 이렇게 했어. 너도 네가 어떻게 아팠는지 봤지? 그래, 나도 아팠어."	"B1"	"45"	"daily_life"	"drinking_coke"	"narrative"	"information"	"colloquial"	"medium"
"madoran-s6-sentno-0002"	"2"	"aya hakili hkaya hadak sid nhar bgha tbi3 loto."	"Come on, tell me the story of that man who wanted to sell the car one day."	"자, 어느 날 차를 팔고 싶어 했던 그 남자 이야기를 해 줘."	"A2"	"27"	"daily_life"	"selling_car"	"conversation"	"request"	"colloquial"	"low"
"madoran-s6-sentno-0003"	"3"	"ghadi drok nhkilk bghit nbi3 polo. qlt lnsibi troh m3aya lsouq gali wah nroh m3ak lsouq."	"I'm going to tell you now: I wanted to sell a Polo. I told my brother-in-law to go with me to the market; he said yes, I'll go with you to the market."	"지금 말해 줄게. 나는 폴로를 팔고 싶었어. 처남에게 시장에 같이 가자고 했더니, 그래 같이 시장에 가겠다고 했어."	"A2"	"30"	"transport"	"car_market"	"narrative"	"information"	"colloquial"	"medium"
"madoran-s6-sentno-0004"	"4"	"sbah bkrna rohna ana w yah fi triq qlna ntqhwa aya gali ntqhwa."	"Early in the morning, he and I set off on the road. We said we would have coffee, and he said, Let's have coffee."	"아침 일찍 그와 나는 길을 나섰어. 커피를 마시자고 했더니 그도 커피를 마시자고 했어."	"A2"	"25"	"daily_life"	"coffee"	"conversation"	"suggestion"	"colloquial"	"low"
"madoran-s6-sentno-0005"	"5"	"tqhwin a drbna mil fai qhwa hlib w qdbna triq."	"We had coffee, drank a milky coffee at a café, and continued on our way."	"커피를 마시고 카페에서 우유 커피를 한 잔 한 다음 길을 계속 갔어."	"A1"	"15"	"daily_life"	"coffee"	"conversation"	"information"	"colloquial"	"low"
"madoran-s6-sentno-0006"	"6"	"ki wslna lsouq khlsna trontmil. galha bn3mi trontmil bzaf."	"When we reached the market, we paid thirty thousand. He said, My goodness, thirty thousand is a lot."	"시장에 도착해서 삼만을 냈어. 그가 말했어. 아이고, 삼만은 너무 많네."	"A2"	"28"	"shopping"	"market_payment"	"narrative"	"information"	"colloquial"	"medium"
"madoran-s6-sentno-0007"	"7"	"wah aya trontmil khlsna, dkhlna lsouq w q3dna nqar3o kan hal mazal mbanach."	"Yes, okay, we paid thirty thousand, entered the market, and sat bargaining, but the situation was still unclear."	"그래, 삼만을 내고 시장에 들어가 흥정을 시작했지만 상황은 아직 분명하지 않았어."	"B1"	"42"	"shopping"	"car_bargaining"	"narrative"	"description"	"colloquial"	"medium"
"madoran-s6-sentno-0008"	"8"	"ki ban lhal jaw ghashi ysamou floto. chhal 3tawk? chhal 3tawk? mazal 3tawni 45, 3tawni 48. tlaqit m3a wahd q3dna nhkwo howa tani q3d ybi3 loto."	"When things became clear, people came to bargain over the car. How much did they offer you? How much did they offer you? They offered me 45, then they offered me 48. I met someone and we talked; he too was selling a car."	"상황이 분명해지자 사람들이 차값을 흥정하러 왔어. 얼마를 제시했어? 얼마를 제시했어? 나한테는 45를 제시했다가 48을 제시했어. 어떤 사람을 만나 이야기를 나눴는데 그 사람도 차를 팔고 있었어."	"B1"	"55"	"shopping"	"car_sale"	"narrative"	"question"	"colloquial"	"high"
"madoran-s6-sentno-0009"	"9"	"q3dna nhkwo ana w yah nas mlah. mskin gali chouf dirha zina tlqaha zina."	"We talked; he was a good person. He told me, Look, make it nice and you will find it nice."	"우리는 이야기를 나눴고 그는 좋은 사람이었어. 그가 말했어. 잘 해 봐, 좋게 하면 좋은 결과를 얻을 거야."	"A2"	"30"	"daily_life"	"advice"	"conversation"	"suggestion"	"colloquial"	"low"
"madoran-s6-sentno-0010"	"10"	"qali ana wallah khatra tlaqit bmra mskina chbaniya f triq. cheftni hbst rft-ha."	"He said, honestly, once I met a poor young woman on the road. When she saw me stop, I picked her up."	"그가 말했어. 정말로, 어느 날 길에서 불쌍한 젊은 여자를 만났어. 내가 멈추자 그녀를 태워 줬어."	"B1"	"50"	"transport"	"hitchhiking"	"narrative"	"narration"	"colloquial"	"medium"
"madoran-s6-sentno-0011"	"11"	"qalha win tskni? qatlou dini ldar w n9olk win nskn."	"He asked her where she lived. She told him, Take me home and I will tell you where I live."	"그가 그녀에게 어디에 사느냐고 물었어. 그녀는 집에 데려다주면 어디 사는지 말해 주겠다고 했어."	"A2"	"28"	"housing"	"asking_address"	"narrative"	"question"	"colloquial"	"medium"
"madoran-s6-sentno-0012"	"12"	"daha gali ditha. ki wsl wah lvilaj galoulou ma tsknch hna hadi liq tzid bsah ma ttmch bloto."	"He took her. When he reached a village, they told him not to live there and not to go around by car."	"그는 그녀를 데려갔어. 마을에 도착하자 사람들은 거기 살지 말고 차를 타고 다니지도 말라고 했어."	"B1"	"58"	"housing"	"village_story"	"narrative"	"narration"	"colloquial"	"high"
