Token,Frequency
.,1999
و,1646
ما,435
في,346
لا,277
?,274
كي,230
تع,225
",",218
الله,202
من,195
لي,192
على,189
غير,182
يا,170
انا,158
شا,149
قاع,138
غادي,133
باش,123
أنا,119
واحد,114
نتا,109
راني,108
هادي,106
اللي,105
مع,96
باغي,92
وهران,92
راه,91
خويا,87
هنا,86
واه,85
وين,83
بصح,83
حتى,81
أيا,80
راك,75
كيما,75
هو,74
والو,71
علاه,71
بزاف,70
كاين,70
فيها,68
هاد,68
اه,68
بلي,64
راكي,64
كان,62
خير,61
هي,61
دروك,60
ايا,59
صحا,58
روح,58
عليا,54
نهار,54
عند,54
ها,53
ربي,52
كنت,52
هادا,51
مشي,50
كل,50
ناس,50
حنا,49
نتي,48
عندك,48
عندي,47
نقولك,47
باسكو,46
دار,46
سي,46
شوف,46
كون,45
دراهم,45
ماشي,44
ختي,44
ادا,44
قالي,44
ليوم,43
تاني,43
مين,42
عليها,41
هدا,41
رانا,40
غي,40
فيه,40
زعما,39
صايي,39
شوية,39
قاله,39
بويا,38
عليك,38
حاجا,38
مكانش,38
عليه,37
راهي,37
اني,36
تاع,36
الي,36
صباح,34
روحي,34
روحك,33
كانوا,33
وحد,33
خطرة,33
غاية,32
معاه,32
شعال,32
هاك,32
راهم,31
الا,31
هدرة,31
نتيا,31
!,31
ندير,31
انشاء,30
بعد,30
ولاد,30
زوج,30
معاك,29
ولدي,29
ولا,29
يجي,29
تاعي,28
حمبوك,28
هداك,28
تاعك,27
فيك,27
شكون,27
كبيرة,27
عليكم,26
راها,26
حاجة,26
نهدر,26
ه,26
دير,26
ديري,26
بنتي,25
دوك,25
سلام,25
كاش,25
معايا,25
منبعد,24
كيفاش,24
سكنة,24
كانت,24
حمد,24
مانيش,24
معليش,24
نتوما,23
عنده,23
نروح,23
وحدة,23
شوالا,23
هاكا,23
بيه,23
هادو,22
قلت,22
تكون,22
عام,22
وقت,22
مشكل,22
جيت,22
تجي,22
عمري,22
يكون,21
أرواح,21
هكا,21
عندها,21
حريرة,21
شابة,21
