"id"	"cefr"	"topic"	"arabic"	"source_form"	"latin"	"ko"	"en"	"kind"	"marker_type"	"oran_marker"	"evidence"	"status"	"source_id"	"source_locator"	"note"
"OD-0433"	"A1"	"function"	"لا"	"لا"	"la"	"아니; ~않다"	"no; not"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 293; sentence 19"	"부정 표지; Stem=لا/NEG_PART"
"OD-0434"	"A1"	"function"	"تع"	"تع"	"ta3"	"~의"	"of"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 522; sentence 31"	"소유·관계 전치사; Stem=تع/PREP"
"OD-0435"	"A2"	"function"	"لي"	"لي"	"lli"	"~하는 사람; ~인 것"	"the one who; that"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 6; sentence 1"	"관계대명사; Stem=لي/REL_PRON"
"OD-0436"	"A1"	"function"	"يا"	"يا"	"ya"	"야; 이봐"	"oh; hey"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 181; sentence 13"	"호격 표지; Stem=يا/VOC_PART"
"OD-0437"	"A1"	"questions"	"شا"	"شا"	"cha"	"뭐"	"what"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 276; sentence 18"	"의문사; Stem=شا/INTERROG_PART"
"OD-0438"	"A1"	"state"	"راني"	"راني"	"rani"	"나는 ~이다"	"I am"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 552; sentence 32"	"1인칭 단수 현재 제시형; Stem=ران/PRESENT_PART; Enclitic=ي/POSS_PRON"
"OD-0439"	"A1"	"state"	"باغي"	"باغي"	"baghi"	"원하는(남성); 나는 원한다"	"wanting (masculine); I want"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 320; sentence 20"	"남성 단수 능동분사; Stem=باغي/NOUN_ACTIVE_PART"
"OD-0440"	"A1"	"state"	"راه"	"راه"	"rah"	"그는 ~이다"	"he is"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 926; sentence 48"	"3인칭 남성 현재 제시형; Stem=راه/PRESENT_PART"
"OD-0441"	"A1"	"position"	"هنا"	"هنا"	"hna"	"여기"	"here"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 174; sentence 12"	"장소 부사; Stem=هنا/ADV"
"OD-0442"	"A1"	"function"	"أيا"	"أيا"	"aya"	"그러면; 자"	"then; so"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 17; sentence 2"	"담화 연결어; Stem=أيا/CONJ"
"OD-0443"	"A1"	"state"	"راك"	"راك"	"rak"	"너는 ~이다(남성)"	"you are (masculine)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 888; sentence 46"	"2인칭 남성 현재 제시형, Stem=راك/PRESENT_PART"
"OD-0444"	"A1"	"function"	"كيما"	"كيما"	"kima"	"~처럼; ~같이"	"like; as"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 282; sentence 19"	"비교 표현; Stem=كيما/NOUN"
"OD-0445"	"A1"	"questions"	"علاه"	"علاه"	"3lah"	"왜"	"why"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 250; sentence 16"	"이유 의문사; Stem=علاه/REL_ADV"
"OD-0446"	"A1"	"state"	"كاين"	"كاين"	"kayn"	"있다; 존재한다"	"there is; exists"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 708; sentence 39"	"존재 표현; Stem=كاين/NOUN_ACTIVE_PART"
"OD-0447"	"A1"	"state"	"راكي"	"راكي"	"raki"	"너는 ~이다(여성)"	"you are (feminine)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 2208; sentence 101"	"2인칭 여성 현재 제시형; Stem=راك/PRESENT_PART; Enclitic=ي/POSS_PRON"
