"id"	"cefr"	"topic"	"arabic"	"source_form"	"latin"	"ko"	"en"	"kind"	"marker_type"	"oran_marker"	"evidence"	"status"	"source_id"	"source_locator"	"note"
"OD-0588"	"A2"	"verbs"	"نديروها"	"نديروها"	"ndyrwha"	"우리는 그것(여성형)을 한다"	"we do it (f.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 8015; sentence 387"	"미완료형; 형태 태그상 주어=우리; 목적어 접사=그녀를/그것(여성)을"
"OD-0597"	"A2"	"verbs"	"يقولهم"	"يقولهم"	"y9wlhm"	"그는 그들에게 말한다"	"he tells them"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 27117; sentence 1213"	"미완료형; 형태 태그상 주어=그; 목적어 접사=그들을"
"OD-0603"	"A2"	"verbs"	"سمحيلي"	"سمحيلي"	"sm7yly"	"실례해 줘; 용서해 줘 (여성 단수에게 하는 명령)"	"excuse me (imperative, f.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 2795; sentence 151"	"명령형; 형태 태그상 주어=너(여성 단수); 소유·전치사 결합 접사=1인칭 단수"
"OD-0604"	"A2"	"verbs"	"نقولها"	"نقولها"	"n9wlha"	"나는 그녀에게 말한다/그것을 말한다"	"I tell her / say it"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 2832; sentence 152"	"미완료형; 형태 태그상 주어=나; 목적어 접사=그녀를/그것(여성)을"
"OD-0612"	"A2"	"verbs"	"خلينا"	"خلينا"	"khlyna"	"우리가 ~하게 해 줘; 우리를 내버려 둬"	"let us (imperative, m.sg.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 16649; sentence 776"	"명령형; 형태 태그상 주어=너(남성 단수); 목적어 접사=우리를"
"OD-0620"	"A2"	"verbs"	"منطولش"	"منطولش"	"mntwlch"	"나는 오래 걸리지 않는다"	"I do not take long"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 14078; sentence 668"	"미완료형; 형태 태그상 주어=나; ma-/m-…-ch 부정 표면형"
"OD-0626"	"A2"	"verbs"	"نديرها"	"نديرها"	"ndyrha"	"나는 그것(여성형)을 한다"	"I do it (f.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 8141; sentence 391"	"미완료형; 형태 태그상 주어=나; 목적어 접사=그녀를/그것(여성)을"
"OD-0633"	"A2"	"verbs"	"تعطيه"	"تعطيه"	"t3tyh"	"너(남성 단수)는 그에게 준다/그것을 준다"	"you (m.sg.) give him/it (m.)"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 13602; sentence 652"	"미완료형; 형태 태그상 주어=너(남성 단수); 목적어 접사=그를/그것(남성)을"
"OD-0645"	"A2"	"verbs"	"نديرلك"	"ندريلك"	"ndirlek"	"나는 너를 위해 해 준다"	"I do it for you"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 19891; sentence 908"	"MADOran 원문 표면형 ندريلك(철자 전도)을 학습용 표준형 نديرلك로 정규화; 미완료형; 주어=나; 간접목적어=너에게"
"OD-0648"	"A2"	"verbs"	"نجموش"	"نجموش"	"njmwch"	"우리는 할 수 없다"	"we cannot"	"word"	"none"	"direct corpus"	"MADORAN_DIRECT"	"attested"	"S6"	"MADOran token 27433; sentence 1220"	"미완료형; 형태 태그상 주어=우리; -ch 부정 표면형"
